LID,BPID,FPID,BLID,FLID
1,20,21,2,0
2,22,20,3,1
3,23,22,4,2
4,24,23,5,3
5,25,24,6,4
6,26,25,7,5
7,27,26,8,6
8,28,27,0,7
9,29,30,10,0
10,31,29,11,9
11,32,31,12,10
12,33,32,13,11
13,34,33,14,12
14,35,34,0,13
15,36,37,0,16
16,37,38,15,17
17,38,40,16,19
19,40,41,17,20
20,41,42,19,21
21,42,43,20,22
22,43,44,21,23
23,44,45,22,24
24,45,46,23,25
25,46,47,24,26
26,47,48,25,27
27,48,49,26,28
28,49,50,27,29
29,50,51,28,30
30,51,52,29,31
31,52,36,30,0
